porti,携带
seksilo,性器官
seksimpulso,性欲
sekskunighi,性交
sekso,性别,性器官
seksumi,性交
sekto,流派,派别,派系,宗派
sektoro,地段
sekundo,秒
sekur-letero,通行证
sekura,安全
sekure,平安
Sekureca Konsilantaro de UNO,安理会
sekvajho,后遗症
sekvanto,随员
sekve,因此
sekvi,跟随,跟踪,追随,遵守
sekvi la ekzemplon de,效法
sekvi la modon,赶时髦
sekvo,后果,结果
sekvonta jaro,来年
sekvosigno,踪迹
selekti,挑选,选拔
selo,鞍子,马鞍
selzono,马肚带
semaforo,红绿灯
semajna gazeto,周报
semajno,星期
semantiko,语义学
sembedo,苗床
semestro,学期
semi,播种,散布
semi malakordon,离间
semo,种子
semobedo,秧畦
semoselekti,选种
sen-danghera,安全
senatano,参议员
senatente,粗心
senato,参议院
senbaza,无根基,虚妄
senbrida,放肆
senbride,肆无忌弹,恣意
senbrua,静默
senbrue,安静,俏俏地
senceremonia,随便,无礼
senceremonie,不拘仪式
senchesa,不断
senco,含义,意思,意义
sendanka,忘恩
sendependa,自立,自主
sendependeco,独立
sendi,打发,发送,寄出,派谴,投递,指派
sendisciplina,放纵
sendito,使者
sendokosto,邮费
sendolorigilo,镇痛药
sendoloriha,止痛
sendoricevilo,收发报机
sendormeco,失眠
sendostacio,电台,广播电台
sendube,无疑
senefika,无效
senegoismo,无私
senekzempla,史无前例
senelirejo,绝路,死胡同
senenhava,空洞
senescepta,无例外
senfama,无名
senfara,无所事事
senfeligi,剥皮
senfina,冗长,无边,无穷,无限
senflukta,无效
senforta,无力
senfrukta,无结果
senghena,随便,自由自在
senghene,无拘束
sengusta,于巴巴,无味
senhara,光秃,秃
senhava,赤贫
senhawtigi,剥皮
senhejma,无家可归
senhejmulo,流浪者
senhelpa,无办法
senhezita,果断
senhezite,坚决
senhoma,无人
senhonorigi,玷辱,侮辱
senhonta,无耻,下流
senideala,无理想
senigi,消灭
senigi iun je io,剥夺
senila,弱
seniluziigho,幻灭
senindulga,无情
seninfektigi,杀菌,消毒
senintenca,无意
seninteresa,无趣味
seninterrompa,不断,连续
senkapigi,杀头,斩首
senkawze,无故
senklera,无知
senkompara,无比,无可比拟,无与伦比
senkompata,残忍,冷酷,无情
senkondicha,无条件
senkonsciighi,失去知觉
senkonscio,无意识
senkonsila,无办法
senkora,残忍,没心肝,无情
senkulpigi,辨解
senkultivejo,休闲地
senkuraghigho,气馁
senlaboreco,失业
senlace,不倦,不懈
senlima,无边,无限
senmakula,无疵,无理
senmakula blanko,洁白
senmanka,完美无缺
senmaskigi,揭露
senmiksa,纯
senmorta,不朽,永垂不朽,永生
senmova,静止
sennaciismo,无民族主义
sennaciisto,无民族主义者
sennoma,无名
sennombra,无数
senopone,一致地
senpacienca,急切
senpaga,免费,无偿
senpekigi,赦免
senpera,直接的
senpolvigilo,除尘器
senprecedenca,史无前例
senprecedence,空前
senpreza,无价之宝
senpripense,粗心
senprokraste,立即,连忙,马上
senradika,无根基
senrezeerva,率直
senrezulta,无结果
senrimeda,无办法
sensacio,轰动
senscia,无知
sensemigita kotono,皮棉
sensencajho,废话,无稽之谈
senseraro,错觉
senshanceligha,坚定
senshancelighe,不懈
sensheligi,剥皮
senshnurigi,解开
sensismo,唯感觉论
sensiva,灵敏
senskrupule,肆无忌弹
sensoifigi,解渴,止渴
sensorgano,感官
sensuka,干瘪
sentawga,无能
sentawgulo,无用人
sentegmenta teatro,露天剧场
sentema,灵敏,敏感,易感
sentenco,格言,警句
senti,感觉,觉得
senti honton,抱愧
senti sin maljuste traktata,抱屈,委屈
sentima,无所畏惧,勇敢的
sentimentala,伤感
sentimento,感情,情调
sentinelo,步哨,岗哨,哨兵
sentiva,敏感
sento,触觉,感情
senvalida,无效
senvalidighi,失效
senvalorajho,废物
senvalorulo,无用人
senvivajho,静物
senzorge,粗心
sep,七
sepio,墨斗鱼,乌贼
sepiolito,海泡石
septembro,九月
serako,冰塔
serchfosi,采掘
serchi,搜查,搜寻,寻求,寻找
serchi veron el faktoj,实事求是
serena,开朗,快活,明朗,睛朗
serenado,小夜曲
sereneco,爽快
serio,系列,一连串,一系列
serioza,认真,稳重,严肃,严重,庄重
sero,血清
serpento,蛇
serpo,镰刀
seruristo,锁匠
seruro,锁
servi,服务,侍候
servi al,效劳
servi kiel,充当
servi kiel(por),用作
servila,下贱
servistino,女服务员,女仆,侍女
servisto,服务员,仆人,侍者,听差
servo,勤务
servo-soldato,勤务兵
servodawro,工龄,军龄
servojaroj,工龄,任职期
servolaboristo,勤杂工
servostacio,加油站
servuta,农奴制
servuto,劳役,徭役
servutulo,农奴
ses,六
sesangulo,六边形
sesedro,六面体
severa,苛刻,冷酷,严峻,严酷,严厉
severa vintro,严冬
severa rigora,森严
severe puni,严惩
sezama oleo,麻油,香油
sezama pasto,麻酱
sezamo,芝麻
sezono,季节,时节
sfero,范围,圆球
sfinkso,人面狮身兽
shaffelo,羊皮
shafida felo,羔皮
shafido,羔羊,羊羔
shafisto,羊倌
shafo,绵羊,羊
shafpashtisto,羊倌
shagha,巧妙
shajna,虚假
shajne,好像,似乎
shajni,显得
shajniga,假
shajnigi,假冒,假装,伪装
shajnigi sin,装模作样,装作
shakalo,豺
shakfiguro,棋子
shakigi,将军
Shakjamunio,释迦牟尼
shako,象棋
shakpecto,棋子
shaktabulo,棋盘
shakto,矿井
shaktoskafaldo,井架
shalo,披肩
shalti,合闸
shaltilo,电门,开关
shampuo,洗发剂
shanceli,动摇,晃,摇晃
shanco,机会,空子,时机
shanghi,变革,调换,掉换,改变,更改,换
shanghi dinastion,改朝换代
shanghi laboron,变工
shanghi orientilon,改弦更张
shanghi profesion(okupon),改行
shanghi rapidecon,变速
shanghi reghimon,改朝换代
shanghighi,变化,转变,转化
shanghighi en,变成
shanghighi neregule,变幻
shanghigho,变迁
shangho,变动
shargh-kapacito,载重量
sharghawto,货车,卡车,载重汽车
sharghi,装载
sharghi pervaro,装货
sharghkapablo,载重能力
shargho,负担,拖累
shargi,充电,上膛
shargujo,弹膛
sharko,鲨鱼
shati,喜爱,喜欢
shatokupo,爱好
shawmakvo,汽水
shawmo,泡沫
shedo,棚
shejko,酋长
shelo,壳,皮,树皮,外壳
sherce inciti,逗趣
sherce moki,打趣
sherci,开玩笑
sherco,玩笑
shi,她
shildo,盾
shima,霉
shimi,发霉
shimo,霉
shinko,火腿
shipano,船员
shipesttro,船长
shipisto,船夫
shipkelo,船舱
shipkorpo,船体
shipo,船,轮船
shiri,扯,撕,摘,拽
shirmejo,掩体
shirmi,保护,掩蔽,掩盖,掩护,遮蔽,遮盖,遮掩
shirmighi,隐蔽
shlimo,烂泥,淤泥
shlimputo,下水道口
shlosi,锁
shlosilo,关键,锁钥,钥匙
shminki,粉饰
shminko,脂粉
shmiri,润滑,涂
shnurero,绳股
shnuri,捆
shnuro,绳子
shnurringo,绳套
shnursalti,跳绳
shnurtirado,拔河
shnurvagono,缆车
shoforo,驾驶员,汽车司机,司机
shoki,触怒,冒犯
shoko,昏厥,休克
shoselrulilo,压路机
shoseo,公路,路,马路
shovelilo,铲子,铁锹,铁锨
shovelmashino,铲土机,挖土机
shovi,推动
shovinismo,沙文主义
shpalo,枕木
shparema,节俭
shpari,节省,节约
shpato,锄头,锚爪
shpindelo,纺锤
shpini,纺
shpini kaj teksi,纺织
shpruc-lakado,喷漆
shpruci,喷出,喷射
shprucigilo,喷射器
shranko,柜
shrawb-levilo,螺丝刀
shrawb-prenilo,螺丝刀
shrawb-turnilo,螺丝刀
shrawbingo,螺母
shrawbino,螺孔
shrawbo,螺丝钉
shrawbturnilo,改锥
shtalbetono,钢筋混凝土
shtalglobeto,钢珠
shtalizi,镀钢
shtalo,钢
shtaltubo de nenormala formo,异型管
shtaltubo de neregula formo,异型管
shtata,公家,官方
shtata bankedo,国宴
shtata ekonomio,国营经济
shtata funebro,国丧
shtata konsilantaro,国务院
shtata monsumo,公款
shtata sekretario,国务卿
shtata shuldo,国债
shtata sistemo,国体
shtata trezorejo,国库
shtatakuzi,弹劾
shtataneco,国籍
shtatestro,元首
shtatigo,国有化
shtato,国家
shtatoficisto,官吏
shtatperfido,卖国
shtatpotenco,政权
shtatrenverso,政变
shtel-alproprigo,贪污
shtelajho,赃物
shtelajho-kashisto,窝主
shtelchasi,愉猎
shtele ataki,偷袭
shtele kunporti,夹带
shtele uzi,盗用
shteli,窃取,偷盗,偷窃
shtelisto,小偷
shtiparumi,火刑
shtipkabano,木房
shtipo,呆子,木块
shtofo,布,布料,料子
shtomi,汹涌
shtona instrumento,石器
shtona skulptajho,石雕
shtonhakisto,采石匠,石匠
shtonkapa fisho,黄花鱼
shtonkarbo,石煤
shtonkaverno,石窟
shtono,石头
shtonoleo,石油
shtopi,堵塞,阻塞
shtopighi de shlimo,淤塞
shtopilo,塞子
shtormo,风暴,雪暴
shtrumpeto,袜子
shtrumpo,长统袜,袜子
shtupara kampo,梯田
shtupareto,人字梯
shtuparo,扶梯,阶梯,楼梯,梯子
shtupo,阶
shubroso,鞋刷
shudorso,鞋帮
shuisto,鞋匠
shukorno,靶拔
shulacho,鞋带
shuld-atesto,借据
shuldi,多亏,欠
shuldo,欠账,债
shultro,肩,肩膀
shultro che shultro,并肩
shultrosignoj,肩章
shuo,鞋
shuti,倾倒,洒
shutloko,垃圾场
shutrechilo,楦头
shvabrilo,拖把
shvebi,翱翔,漂浮,飘,飘荡
shveli,肿胀
shvelparolo,大话,夸张
shviti,出汗
shvitiga,困难
shvitlaboro,血汗劳动
shvito,汗
si,自己
sia,自己的
siafianko,己方
sibli,咝咝作响
sidi,位于,坐
sidloko,位置,位子,席位,坐位,座位
sidostriko,静坐示威
sidvango,屁股,臀部
sieghi,包围,围困
siesto,午睡
sifona stacio,虹吸站
sifono,虹吸管
sigel-vakso,封蜡
sigelilo,图章
sigelo,图章,印章
sigelringo,戒指印章,图章戒指
sigelvakso,火漆
signalo,信号
signi,作记号
signifi,意味
signifo,含义,意义
signifoplena,有意思
signo,标记,标志,符号,迹象
signoklarigisto,占卜者
silabo,音节
silabolimo,音节分界
silenta,沉寂,寂静,静默
silenta penado en malfaciloj,埋头苦干
silenti,沉默,缄口
silicia shtalo,矽钢
silicio,硅
siliciregebla rektifikilo,可控硅
siliko,火石
silikozo,矽肺病
silka vato,丝棉
silkajho,丝绸
silko,蚕丝,丝,丝绸
silkrawpo,蚕,桑蚕
silueto,侧影,剪影,轮廓,身影
simbolismo,象征派
simbolo,标志,象征
simetrio,对称,匀称
simfonia orkestro,交响乐队
simfonio,交响乐
simihomo,猿人
simila,近似,类似,同样,相仿
similajho,相似点
simili,相似
simio,猴子
simpatio,怜悯,同情
simpla,纯朴,单纯,单一,简单,平凡,平易,朴实,朴素,普通
simpla kaj facila,简易
simpozio,讨论会
simptomo,病状,症候
sin akuzi al polico,投案
sin anonci,报名
sin apogi sur,依靠
sin dedichi,献身
sin defendi,自卫
sin denunci,自首
sin deteni,检点,自持
sin direkti,走向
sin direkti al,转向
sin dronigi,跳水自杀
sin etendi,伸懒腰
sin gardi de,提防
sin gheni,拘束
sin jheti al,扑向
sin kashi,隐藏,隐伏
sin kritiki,险讨
sin lawdi,自夸
sin manifesti,显现
sin mortigi,自尽,自杀
sin oferi,舍身,献身
sin okupi,忙于
sin okupi pri,从事
sin pushi,碰撞
sin retiri el,退出
sin riprocho,自责
sin sharghi per,承担
sin shirmi,隐蔽
sin svati,求婚
sin treni,爬
sin trompi,自欺
sin trovi,位于,有
sin turni al,转身,转向
sin turni al la malamlka flanko en milito,倒戈
sin vesti,穿
sinapogo sur propraj fortoj,自力更生
sincera,诚挚,真诚的,真心的,衷心
sincera konsilo,忠言
sincere,诚恳,由衷
sincereco,诚意
sindevigo,克已,自制
sindikatismo,工团主义
sindikato,辛迪加
sindonemo,忘我
sinforgesa,无私
sinforgeso,忘我
singarda,谨慎
singardeco,小心
singardema,谨慎,警觉
singardemo,小心
singardi,留心
singulti,嗝
sinjoino,太太
sinjorino,夫人,女士
sinjoro,老爷,绅土,士绅,先生
sinkono,自知
sinmontremo,风头主义
sino,怀抱
sinonimo,同义询
sinrego,克已,自我控制,自制
sinsekvo,一连串,一系列
sintakso,句法
sinteno,风度,态度,姿态
sinteza amoniako,合成氨
sinteza kawchuko,合成橡胶
sinteza lano,合成羊毛
sinteza utiligi,综合利用
sintezi,合成
sintezo,综合
sireno,警报器,美人鱼,汽笛
siringo,丁香,紫丁香
sismo,地震
sistem,制度
sistemo,体系,体制,系,系统
sistemo de kabineto,内阁制度
sistemo de partia komitato,党委制
sitelo,水桶,桶
situacio,处境,景况,境地,境况,境遇,局面,局势,情况,事态,形势
situi,位于,坐落
situo,位置
skabio,疥癣
skafaldo,脚手架
skafandristo,潜水员
skalo,比例尺,规模,刻度,音阶
skandalo,丑闻
skapolo,肩胛骨
skarabo,金龟子
skarlatino,猩红热
skarlato,猩红
skarpo,披肩
skatolo,盒子,匣
skcento,重读
skeleto,骨骼,骨架,骷髅
skemo,图解
skeptika,多疑
skermi,击剑
sketi,滑冰,溜冰
sketkuro,速度滑冰
skii,滑雪
skipo,班,组
skistosomozo,血吸虫病
skiza mapo,略图,示意图
skizo,草稿,草图,梗概,素描,速写
skizofrenio,精神分裂
sklava socio,奴隶社会
sklavigi,奴役
sklavismo,奴隶主义
sklavo,奴隶
sklavo de fremda mastro,洋奴
skolastiko,烦琐哲学
skolo,流派,学派
skolopendro,蜈蚣
skorbuto,坏血病
skorio,废渣,炉渣
skorpio,蝎子
skrapgumo,橡皮
skrapi,刮,刮削
skrapmashino,铲土机
skrapreto,拖网
skriba ekzameno,笔试
skriba instrukcio,批示
skriba kalkulo,笔算
skriba lingvo,文字
skribajho,字迹
skribi,编写,填写,写
skribilaro,文具
skribilo,笔
skribo ostoj kaj testudaj sheloj,甲骨文
skribotablo,书桌,写字台
skrupule,审慎
skrupulo,顾忌,顾虑
skui,晃,摇晃,振荡,振动,震动,震撼
skuighi,摆动
skulpti,雕刻,雕塑,刻
skulptisto,雕刻家
skuo,轰动
skurghi,鞭打,抽打
skurgho,鞭子,皮鞭
skuzi,控诉
skvamo,磷
slabo,石板
slango,行话
sledo,橇,雪橇
slipo,卡片,纸条
slogano,标语,口号
smeraldo,翡翠,绿宝石
snurumi,搓
sobra,冷静,清醒,慎重,稳重,饮食有度,有分寸
sobrigi,节制
socia ekonomio,社会经济
socia karakteto,社会性
socia kontakto,社交
socia moralo,公德
socia ordo,社会秩序
socia rilato,社会关系
sociala asekuro,社会保险
socialisma revolucio,社会主义革命
socialismo,社会主义
societema,好交际
societo,社会团体,社团,团体
socio,社会
sociologio,社会学
socitavolo,阶层
soda biskvito,苏打饼干
sodakvo,汽水
sodo,碱,苏打
sofismo,诡辩
sofo,沙发
sofolito,沙发床
soforo,槐
softvaro,软件
soifi,渴,渴望,口渴
sojfaba lakto,豆浆
sojfaba oleo,豆油
sojfabo,大豆,黄豆
sojlo,门槛
sojo,酱油
soklo,柱石
soko,犁铧
sola,单独,唯一,无双
soldanco,独舞
soldato,兵士,军人,士兵,士卒,战士
soleco,孤独,寂寞
solena,隆重,庄严,庄重
soleno,典礼,盛典
solida,坚固,坚实,坚硬,结实,牢固
solida korpo,固体
solida stato,固态
solidareco,团结
solidigi,加固
solludo,单打
solo,独唱,独奏
solvajho,溶液
solvi,解答,解决,溶解
solvo,答案
someraj ferioj,暑假
someraj tagoj,暑天
somermezo,盛夏
somero,夏季,夏天
somerteatro,露天剧场
somerumi,避暑
sona obstaklo,音障
sonato,奏鸣曲
sonbendo,磁带,录音带
sondi,试探
soneto,十四行诗
songhi,做梦
songho,梦,睡梦
soni,响
soni tra,响彻
sonigi,敲响
sonizola,隔音
sono,声,声音
sonondo,音波
sonora,清脆,响亮
sonori,响
sonorigi,敲钟
sonorilo,钟
sonorilturo,钟楼
sonrapideco,音速
sonserpento,响尾蛇
sopirghemi,叹息
sopiri,憧憬,渴望,盼望,思念,想念,向往
soprano,女高音
sorbi,吸
sorcharto,巫术
sorchighi,入迷
sorchistino,巫婆
sorchisto,神汉,巫师
sorgo,高梁
sorto,命运
sovageco,野蛮
sovagha,残暴,粗野,荒凉,野
sovaghbesto,野兽
sovaghbovo,野牛
sovaghejo,荒野
sovaghulo,野蛮人
soveto,苏维埃
spaco,场,空间
spado,剑
spano,跨度
sparko,火花
spasmo,痉挛
speciala,非常,特殊,专门
speciala amnestio,特效
speciala gusto,风味
speciala permeso,特许
speciala sendito,特使
speciala tasko(misio),专差
speciala trajno,专车
specialaj trupoj,特种部队
speciale,特别,特地
specialisto,专家
specifa valuto,比值
specimeno,标本,样本,样品
specio,品种
speco,品种,种类
speguli,反映,体现
spegulo,镜子
spegulshranko,立柜
spektaklo,热闹
spektanto,观众
spektatoro,观众
spektro,光谱
spekulanto,投机者
spekuli,投机
spermatozoo,精于
spermo,精液
spermodukto,输精管
sperta,熟练,有经验
sperta en artifikado kaj trompado,老奸巨猾
sperti,经历,体验
sperto,经验
spertulo,行家
spezo,收支
spicajho,调味品,作料
spici,调味
spico,调料,调味品
spikighi,抽穗
spiko,穗
spikumi,拾穗
spinaco,菠菜
spindelo,锭子,纱锭
spino,脊柱
spioni,侦察
spiono,暗探,奸细,间谍,特务
spirale,盘旋
spiri,喘息,呼吸
spiri la lastan spiron,咽气
spirito,鬼魂,精灵,精神,灵魂,士气,亡魂,亡灵,妖精,幽灵
spiritstato,神态
spirmanka,气闷
spiro,气息
spite,不顾
spliti,分化,分裂,劈
splitighi,破裂
splito,木片
spoko,轮辐
spongo,海绵
spontanca,自发
spontanea brulado,自燃
sporo,孢子
sportejo,操场,运动场
sportisto,运动员
sportkunveno,运动会
sporto,体育运动,运动
sportoj,竞技
sprita,机灵
sprita diro,俏皮话
spritajho,俏皮话,笑话
sprito,机智
sprono,马刺
spronradeto,马刺轮
spuri,跟踪
spuro,脚印,踪迹,足迹
sputi (krachi) sangon,呕血
sputi sangon,吐血
srchlumilo,探照灯
stabestro,参谋长
stabila,平稳,稳定
stabo,参谋部,司令部
stacidomo,车站
staciestro,站长
stacio,站
stadio,阶段,时期,行程
stadiono,运动场
stafekurado,接力
stagnanta akvo,死水
stagni,停滞
stalagmito,石笋
stalaktito,钟乳石
stampi,盖章
stampilo,图章
stampo,图章,印章
standardo,旗
standardoportanto,旗手
stanferlado,马口铁
stanfolio,锡纸
stango,竿
stango de pesilo,枰杆
stangosalto,撑杆跳高
staniolo,锡纸
stano,锡
staplejo,堆栈,货栈
staplo,仓库,库房
stara,直立的
starema,稳定
stari,站立
starighi,起立
starigi,成立,架设,建立,开办,开辟,确立,设立,树立,竖起
starigi diplomatiajn rilatojn,缔交
starpunkto,立场
starti,启动,起跑
startpunkto,起点
statiko,静力学
statistika tabelo,表报
statistiko,统计
statisto,跑龙套
stato,境遇,局面,情况,事态,状态
statoro,定于
statuo,雕像,塑像
staturo,个子,身材,身高,身躯
statuto,会章,章程
stebl,缝纫
stebmashino,缝纫机
stebo,针脚
stelaro,星座
steleo,石碑
stellumo,星光
stelo,电影明星,恒星,星,星斗
stelulino,电影明星
stepo,草原
sterila,贫瘠,无菌
steriligi,绝育,消毒
sterilizi,灭菌,杀菌
sterki,施肥
sterko,肥料
sterkoskarabo,屎壳郎
sterlinga pundo,英镑
sterni,铺开,摊开
sterni trakon,铺轨
stetoskopo,听诊器
stigmato,伤疤,伤痕
stilo,风格,式样
stilo de verkado,文风
stilzoj,高院
stimuli,刺激,促进,激发,激励
stipendio,助学金
stiri,驾驶
stiristo,舵手,驾驶员,司机
stirrado,方向盘
stoki,积存,库存
stoko,存货
stomaka kancero,胃癌
stomaka perforado,胃穿孔
stomaka perturbo,胃病
stomaka ulcero,胃溃疡
stomakaj acidajhoj,胃酸
stomako,胃
stormo,暴风,暴风雨
strabi,对眼,斜视
stramlino,妓女
strando,海滩,沙滩
stranga,古怪,怪僻,怪异,奇怪,希奇
stranga rakonto,奇谈
strango,离奇
strangoli,扼杀,绞死,掐脖子,窒息
strata batalo,巷战
stratbalaisto,清道夫
strategia pasejo,险隘
strategio,计策,战略
stratlampo,路灯
strato,街道,路,马路
stratosfero,同温层
stratpurigisto,清道夫
stratulacho,流氓
stratumo,地层
strebi,力求,努力,追求
strecha,紧张
strechi,拉紧
streptomicino,链霉素
strigo,猫头鹰
striko,罢工
strikta,紧密,密切,严紧
strio,条纹,线条
strite gardi,严防
strofo,诗段
strukturo,构造,结构
stuci,剪枝,修枝
studenta karto,学生证
studenta ligo,学生会
studenta movado,学生运动
studenta striko,罢课
studento,学生
studi,学,研究
studi alilande,留学
stufi,炖,红烧
stulta,傻,愚蠢
stultajho,傻事
stultulo,笨蛋,蠢人,呆子,傻瓜
stumbli,绊,超越
stumpo,残肢,存根
sturma tachmento,突击队
sturmi,冲锋
sub devigo,协从
sub la chelo,露天
subacheti,贿赂,买通,收买,行贿
subakve naghi,潜泳
subakve navigi,潜航
subakvigi,水淹
subakvisto,潜水员
subawskulti,窃听,偷听
subbrako,夹肢窝,腋下
subchampiono,亚军
subchemizo,贴身衣
subfari,屈服
subigi,压倒,压制
subinstigi,调唆
subiranta suno,落日
subita,突然,骤然的
subita morto,暴卒
subite,忽然
subjektiva,主观的
subjektivismo,主观主义
subjekto,主语
subjugigi,征服
subjugigi nacion,亡国
subjupo,衬裙
subkompreni,省略,意会
subkonscio,下意识
subkonstruajho,基石
subkontinento,次大陆
subkushi,屈服
sublewtenanto,少尉
sublima,崇高
sublimi,升华
submarshipo,潜水艇
submastro,监工
submergebla shipo,潜水艇
submetighi,屈服
subnorma produktajho,次品
suboficiro,下级军官
subplotono,班
subporti,托住,支持
subpremi,欺压,压迫,镇压
subprovinca partia komitato,地委
subprovinco,专区
subridi,暗笑
subrigardi,窥视
subrosti,烤
subshtofo,衬布,衬里
subskribi,签字
subskribo,落款
substanco,物体,物质
substantivo,名词
substreki,着重
subtaksi,低估
subtaso,茶托
subtegmento,阁楼
subtenanto,后台
subteni,撑腰,扶持,拥护,支撑,支持,支援
subtera,地下
subtera fervojo,地铁
subtera kanalo,坎儿井
subtera koridoro,地道
subtera rivero,暗河
subteretago,地下室
subtila,精巧,精细,纤细
subtitolo,副标题
subtrahi,减
subtraho,减法
subtropika zono,亚热带
subvencio,补助
subventro,小腹
subvesto,内衣
suchi,吸,吸取
suchigi,哺乳
suchinfano,乳儿,婴儿
suda latitudo,南纬
sudo,南方
suferi,蒙受,受苦,痛心,遭受,折磨
suferi malsanon,患病
suferi perdojn,吃亏
sufero,疾苦,苦难,苦痛,磨难,痛苦
suficha,足够
suflori,提词
sufoka,气闷
sufoki,闷死,窒息
sugesta signifo,寓意
sugesti,暗示
sukceno,琥珀
sukcesi en ekzameno,及格
sukceso,成功,成绩,成就
sukerajhejo,糖果店
sukerkano,甘蔗
sukero,食糖,糖
suko,汁
sukringo,年轮
sulfamido,磺胺
sulfata acido,硫酸
sulfuro,硫磺
sulketo,皱纹
sulki la brovojn,皱眉
sulko,沟,垄沟
sultano,苏丹
sume,共计
sume：totale,总共
sumo,金额
suna flanko,阳面
suna kalendaro,阳历
sunbano,日光浴
sunbrilo,阳光
suneklipso,日蚀
sunfloro,葵花,向日葵
sunfrapo,中暑
sunhorlogho,日晷
sunkasko,太阳帽
sunlumo,日光,阳光
suno,太阳
sunokulvitroj,墨镜,太阳镜
sunombrelo,旱伞,凉伞,阳伞
sunumi,晒
super la marnivelo,海拔
supera,高级,精良,上等,上级
supera forto,精锐部队
supera instanco,上级
supera jughejo,高等法院
supera lernejo,大学
supera matematiko,高等数学
supera mezlernejo,高中
supera tavolo,上层
superabundi,过剩
superakvi,泛滥,淹没
superakvo,洪水,水灾
superatuti,摊王牌
supereco,优势,优越
superemo,要强
superflua,多余,剩余
superflua greno,余粮
superflui,过剩
superhoma,超人
superi,超过,压倒,制胜
superjaro,闰年
superklasa,超级
superkreski,生长过速
superlativo,最高级
supermonato,闰月
superplenumi produktan kvoton,超产
superponti,架桥
superpotenco,超级大国
superproduktado,生产过剩
superregi,称霸,控制,制胜
supersona rapideco,超音速
supersticho,迷信
superstrukturo,上层建筑
supertago,闰日
supertera,悬空
superulo,上级,优胜者
supervershi,淹没
supla,柔软
suplemento,补遗,增刊
supo,汤
supozi,猜测,猜想,假定,假设,设想,推断,意想,臆断
supra baseno,上游
supra parto de la korpo,上半身
suprajha,肤浅
supreniri,上去,上升
suprenjheti,向上抛
suprenvolvi,挽起,向上卷
supro,顶,高峰
sur la vojo,沿路
surakva pavilono,水柳
surakve transporti,水运
surbaze de,根据,依据
surda,聋
surdiskigi,灌唱片
surdulo,聋子
surfaco,表层,面
surkorekti,校改
surmara,海上
surmeti,穿
surnao,唢呐
suro,腓,腿肚子
surpashi,踩
surpriza pafo,冷枪
surprizanki,偷袭
surprizataki,奇袭,突袭,袭击
surprizi,惊人,奇袭,偷袭,突袭,袭击
surprizighi,诧异,吃惊,惊奇
surprovi,试穿
surpushighi,碰撞
surscenighi,出场,上台
sursk2ibo,题字
surskribeto,标签
surskribo,题词
surstratighi,上街
surterighi,登陆,降落,着陆,着陆
surtronighi,登基,即位
surtuto,大衣,外套
suspektema,多疑
suspekti,狐疑,怀疑,生疑
suspekti kaj jhaluzi,猜忌
suspektinda,可疑
suspekto,嫌疑,疑心
suspiri,叹息
susuri,飒飒,沙沙响
suverena,自主
suvereneco,主权
suvereno,君王,元首
svarmi,蜂拥,麇集
svatagentejo,婚姻介绍所
svati,说媒,做媒
svatighi,求婚
svatisto,媒人
svelta,苗条,秀气,窈窕
sveni,晕倒
sveno,昏厥
svingi,晃,挥动,挥舞
svingighi,摆动,摇曳
svingilo,钟摆
t.e.,即是
tabakfolio,烟叶
tabako,烟草
tabelo,表单,表格
tabla kalendaro,台历
tablo,桌子
tablohorlogho,座钟
tablojdo,片剂,药片
tablolampo,台灯
tabloteniso,乒乓球
tablotuko,桌布
tabulkovri,铺地板
tabulo,板,木板
tachmento,队,分队,支队
tacho,边线
tagdungito,短工
tagigho,黎明,天明
taglabori,打短工
taglibro,日记
tagmangho,晌饭,午饭
tagmezo,晌午,中午
tagnokto,昼夜
tago,白天
tago kaj nokto,日夜
tagon post tago,逐日
tagordo,程序,日程,议程,议事日程
tagskipo,日班
tajdo,潮,潮流,潮汐,海潮
tajfuno,台风
tajghichuan,太极拳
tajlado,剪裁法
tajli,裁剪,剪裁
tajloro,裁缝
tajpi,打字
tajpisto,打字员
taksa budgheto,概算
taksi,揣度,估计,估价,预计
taksio,出租汽车
takso,评价
taksonomio,分类学
taktiko,策略,手段,战术
takto,节拍
taktobastono,指挥棒
talento,才干,才能,天才,天赋
talio,腰
talko,滑石
talono,存根
tambura turo,谯楼
tamburisto,鼓手
tamburo,鼓
tamen,但是,然而
tamtamo,锣
tani,鞣
tanko,坦克
tantiemo,版税
taoismo,道教
tapisho,地毯
tarifo,关税表,税率,税率表
taro,皮重,芋头
tarso,跗骨
tasko,任务
taso,杯子,茶缸子
tavolo,层
tawga,合适,适合,贴切
tawro,牛
team,队
teama konkurso,团体赛
teamo,班,球队
tearbo,茶树
teatr(ajh)o,戏剧
teatra trupo,剧团
teatrajho,剧
teatro,剧场,剧团,戏院
teceremonio,茶道
teda,烦人
tedi,腻烦,厌烦
tefolio,茶叶
teghardeno,茶园
tegmentfenestro,天窗
tegmento,房顶,屋顶
tegolo,瓦片
teismo,有神论
teknika laboristo,技工
teknikisto,技术员
tekniko,技巧,技术,手法
teknologio,工艺
teko,公文包
tekrucho,茶壶
teksajho,织物
teksarangho,织法
teksi,织
teksilo,织机
teksmashino,织机
teksobrodi,织锦
teksoshtopi,织补
teksto,课文
tektono,柚木
tekunveno,茶话会,茶会
telefona ricevilo,受话器
telefonnumero,电话号码
telefono,电话,电话机
telefonoficejo,电话局
telefota lenso,远摄镜头
