abandoned,[ә'bændәnd],adj.被抛弃的，自甘堕落的，没有约束的，放荡的
poetical,[pәu'etikәl],adj.诗的，理想化的
poker,['pәukә],n.拨火棍，(用棍)戳的人，纸牌戏,vt.烙制
politeness,[],n.有礼，优雅
pollen,['polin],n.花粉,vt.传授花粉给
pollute,[pә'lu:t; -'lju:t],vt.弄脏，污染
polo,['pәulәu],n.马球，水球
Pompey,['pompi],n.英国南部的军港
ponderous,['pondәrәs],adj.沉重的，笨重的，冗长的，沉闷的，(指问题等)呆板的
poppy,['popi],n.[植]罂粟，深红色
populace,['popjulәs],n.平民
populous,['popjulәs],adj.人口多的，人口稠密的
portable,['po:tәbl],adj.轻便的，手提(式)的，便携式的
portray,[po:'trei],v.描绘
poster,['pәustә],n.海报，招贴，(布告，标语，海报等的)张贴者
postscript,['pәustskript; 'pәuskript],n.附言，后记
posture,['post∫ә],n.(身体的)姿势，体态，状态，情况，心境，态度,v.令取某种姿势，摆姿势，作出姿态
potentate,['pәutәnteit],n.当权者
pottery,['potәri],n.陶器，陶器场
pounce,[pauns],v.突袭,n.突袭
powerless,['pauәlis],adj.无能力的
practicable,['præktikәbl],adj.能实行的，行得通的，可以实行的
practiced,['præktist],adj.熟练的，老练的
prance,[prα:ns],n.(马)后足立地腾跃，昂首阔步,vi.腾跃，欢跃，昂首阔步,vt.使腾跃
prank,[præŋk],n.胡闹，开玩笑，恶作剧,vt.装饰，打扮,vi.打扮得漂亮
preaching,['pri:t∫iŋ],n.讲道，讲道法
pregnant,['pregnәnt],adj.怀孕的，重要的，富有意义的，孕育的
prehistoric,['pri:his'torik],adj.史前的，陈旧的
preoccupied,[pri:`okjupaid],adj.被先占的，全神贯注的
preparatory,[pri'pærәtәri],adj.预备的
preposterous,[pri'postәrәs],adj.荒谬的
prerogative,[pri'rogәtiv],n.特权
presumably,[pri'zju:mәbәli],adv.推测起来，大概
prevailing,[pri'veiliŋ],adj.占优势的，主要的，流行的
priceless,['praislis],adj.无价的，极贵重的
principality,[˛prinsi'pæliti],n.公国，侯国
prism,[' prizәm],n.[物]棱镜，[数]棱柱
privately,[],adv.私下地，秘密地
privileged,['privilidӡd],adj.有特权的，有特别恩典的
privy,['privi],adj.个人的,n.有利害关系的人
pro,[prәu],adv.正面地
prodigal,['prodigәl],adj.浪费的,n.浪子
profile,['prәufail],n.剖面，侧面，外形，轮廓
profiteer,[˛profi'tiә],n.奸商
projection,[prә'dӡek∫әn],n.发射
prologue,['prәulog],n.序言
Prometheus,[prә'miθju:s],n.[希神]普罗米修斯(造福于人类的神)
promoter,[prә'mәutә],n.促进者，助长者
propel,[prә'pel],vt.推进，驱使
prophetic,[prә'fetik],adj.预言的
propriety,[prә'praiәti],n.适当
prosecution,[˛prosi'kju:∫әn],n.进行，经营，检举，起诉
prospector,[pro'spektә(r)],n.探勘者，采矿者
protein,['prәuti:n],n.[生化]蛋白质,adj.蛋白质的
protoplasm,['prәutәplæzәm],n.[生]原生质
protrude,[prә'tru:d],v.突出
provocation,[provә'kei∫әn],n.激怒，刺激，挑衅，挑拨
prow,[prau],n.船首，舰首,adj.勇敢的
psyche,['psaiki(:)],n. 1.心智 2.灵魂；精神
psychologist,[psai`kolәdӡist],n.心理学者
publicly,['pΛblikli],adv.公然地，舆论上
pupa,['pju:pә],n.[昆]蛹
puppet,['pΛpit],n.傀儡，木偶
purchaser,['pә:t∫әsә],n.买方，购买者
purify,['pjuәrifai],vt.使纯净,v.净化
purport,['pә:pәt; -po:t],n.主旨,v.声称
purr,[pә:],v.咕噜咕噜叫，发出喉音,n.咕噜咕噜声
pursuer,[pә`sju:ә(r)],n.追随者，追求者，研究者
puss,[pus],n.猫，小姑娘，少女,n.脸，(尤指撅起的)嘴
Quaker,['kweikә],n.教友派信徒，贵格会会员
quell,[kwel],v.镇压
questionable,['kwest∫әnәb(ә)l],adj.可疑的
racketeer,[˛ræki'tiә],n.敲诈者，获取不正当钱财的人,v.诈骗钱财
radius,['reidjәs],n.半径，范围，辐射光线，有效航程，范围，界限
raindrop,['reindrop],n.雨滴，雨点
rampart,['ræmpα:t],n.垒，壁垒，城墙,vt.用壁垒围绕，防卫
rapt,[ræpt],adj.全神贯注的
ratification,[˛rætifi'kei∫әn],n.批准
raven,['reivәn],n.大乌鸦，掠夺,adj.乌黑的,v.掠夺，狼吞虎咽
react,[ri'ækt],vi.起反应，起作用，反抗，起反作用
reactionary,[ri(:)'æk∫әnәri],adj.反作用的，反动的,n.反动分子
rebellious,[ri'beljәs],adj.造反的，反叛的，反抗的，难于对付的
rebuff,[ri'bΛf],n.回绝,v.回绝
recede,[ri'si:d],v.后退
receptacle,[ri'septәkl],n.容器，[植]花托，[电工]插座
recital,[ri'saitl],n.朗诵，背诵，叙述，独奏会，独唱会
reckoning,['rekәniŋ],n.计算，帐单，算帐，结帐，清算，估计
recline,[ri'klain],v.放置
recoil,[ri'koil],n.畏缩，后退，弹回，反作用，后座力,vi.退却，畏缩，弹回，撤退，反冲
reconciliation,[˛rekәnsili'ei∫әn],n.和解，调和，顺从
reconstruct,['ri:kәn'strΛkt],v.重建，改造，推想
recourse,[ri'ko:s],n.求援，求助，[商][律]追索权
rectangle,['rektæŋgl],n.长方形，矩形
rectangular,[rek'tæŋgjulә],adj.矩形的，成直角的
rector,['rektә],n.(美国主教派教会的)教区长，(某些学校，学院，大学的)校长，(修道院，宗教学校的)院长
recur,[ri'kә:],vi.复发，重现，再来
redden,['redn],v.变红
redress,[ri'dres],n.赔偿，救济，矫正,vt.纠正，矫正，赔偿，救济，重新穿衣，重新调整，重新敷裹
reenforcement,[],n.援助，增强
referenda,[˛refә`rendә],n.(referendum的复数)普通投票
referendum,[˛refә'rendәm],n.公民投票，(外交使节)请示书
reformer,[ri'fo:mә],n.改革家，改革运动者
refreshing,[ri'fre∫iŋ],adj.提神的，凉爽的，使人喜欢的
refugee,[˛refju(:)'dӡi:],n.难民，流亡者
regent,['ri:dӡәnt],n.摄政者，董事,adj.摄政的
registration,[˛redӡis'trei∫әn],n.注册，报到，登记
reiterate,[ri:'itәreit],vt.反复地说，重申，重做
relent,[ri'lent],vi.变宽厚，变温和
relentless,[ri'lentlis],adj.无情的
relinquish,[ri'liŋkwi∫],v.放弃
reluctance,[ri'lΛktәns],n.不愿，勉强
reminder,[ri'maindә],n.提醒的人，暗示
remit,[ri'mit],vt.宽恕，赦免，免除，缓和，推迟，汇出，传送，使复职,vi.缓和，汇款,n.移交的事物
remonstrate,[ri'monstreit],v.抗议
reorganization,[`ri:˛o:gәnai`zei∫әn],n.改组，改编，整编，重新组织
repast,[ri'pα:st],n.餐,vi.设宴，就餐
repentance,[ri'pentәns],n.后悔，悔改
replenish,[ri'pleni∫],v.补充
repress,[ri'pres],vt.<美>再压，补充加压,vi.压制
reproof,[ri'pru:f],n.谴责，非难
reprove,[ri'pru:v],v.责备
repute,[ri'pju:t],n.名誉，名声,v.名誉，认为，称为
resolutely,[],adv.毅然地，坚决地
respectful,[ris'pektful],adj.恭敬的，尊敬的，尊重人的，有礼貌的
respecting,[ris'pektiŋ],prep.关系，说到
respiration,[˛respi'rei∫әn],n.呼吸，呼吸作用
respite,['respait],n.暂缓,v.暂缓
resplendent,[ris'plendәnt],adj.辉煌的，灿烂的，光辉的，华丽的
restlessly,[],adv.不安地，慌张地
retard,[ri'tα:d],vt.延迟，使减速，阻止，妨碍，阻碍
retired,[ri'taiәd],adj.退役的,v.退休
reunion,[ri:'ju:njәn],n.团圆，重聚
revere,[ri'viә],v.尊敬，敬畏，崇敬
revert,[ri'vә:t],v.回复
revision,[ri'viӡәn],n.修订，修改，修正，修订本
rhetoric,['retәrik],adj.花言巧语的
rhinestone,['rainstәun],n.水晶之一种，人造钻石
richness,[],n.丰富，浓烈，富裕，富饶，华美
righteousness,[],n.正当，正义，正直
rightful,['raitful],adj.公正的
rigidly,[],adv.坚硬地，严格地
rigor,['rigә],n.严格，严厉，苛刻，严密，严酷，精确
ringed,[riŋd],adj.镶环(轮，圈)的，轮状的，被包围的
rinse,[rins],v.嗽口，(用清水)刷，冲洗掉，漂净,n.嗽洗，漂洗，漂清，冲洗
ritual,['ritjuәl],n.典礼，(宗教)仪式，礼节,adj.典礼的，(宗教)仪式的
rivalry,['raivәlri],n.竞争，竞赛，敌对，敌对状态
riverside,[`rivәsaid],n.河岸，河畔
rivet,['rivit],n.铆钉,v.固定
rivulet,['rivjulit],n.小河，小溪，溪流
roadster,['rәudstә],n.跑车，流浪者
roadway,['rәudwei],n.车行道，路面，(铁道的)路线
robust,[rә'bΛst],adj.精力充沛的
rocket,['rokit],n.火箭,v.飞速上升
roe,[rәu],n.[动](=roe deer)狍(分布于欧亚两洲)，(3岁以上的)雌鹿，(还在雌鱼卵巢中的)鱼卵，(充满精液的)雄鱼生殖腺，(木材纵剖面的)鱼卵形黑色斑纹
rook,[ruk],n.(象棋)车，赌棍，骗子,vt.欺骗
roost,[ru:st],n.栖木，栖息所，卧室,vi.栖息，安歇,vt.使栖息
rosebud,['rәuzbΛd],n.蔷薇花蕾，妙龄少女，<美>初入社交界的少女
rotary,['rәutәri],adj.旋转的
rotate,[rәu'teit],v.(使)旋转
roundabout,['raundәbaut],adj.迂回的，转弯抹角的,n.道路交叉处的环形路，迂回路线，兜圈子的话
royalist,['roiәlist],n.保皇主义者，保皇党人,adj.保皇主义者的，保皇党人的
rudder,['rΛdә],n.舵，方向舵
rudely,[],adv.粗暴地，无礼地
ruffian,['rΛfjәn; -fiәn],n.流氓，恶棍，无赖,adj.凶恶的，残暴的，无法无天的
rump,[rΛmp],n.尾部，臀部，残余
runaway,['rΛnәwei],n.逃跑，逃跑者，巨大的胜利，失控的车(或核子反应堆系统),adj.逃亡的，逃走的
ruthless,['ru:θlis],adj.无情的，残忍的
saber,['seibә],n.马刀，骑兵，骑兵队,vt.用马刀砍或杀
sag,[sæg],v.松弛，下陷，下垂，(物价)下跌，漂流,n.下垂，下陷，物价下跌，随风漂流，垂度
sagacity,[sә'gæsiti],n.睿智，聪敏
saith,[seθ],vbl.<古> say 的第三人称，单数
salon,['sælo:ŋ],n.沙龙
salutation,[sælju(:)'tei∫әn],n.招呼
sanctity,['sæŋktiti],n.圣洁
sandal,['sændl],n.凉鞋，檀香，便鞋,v.穿上便鞋
sanguine,['sæŋgwin],adj.有望的，乐天的，面色红润的，血红色的，满怀希望的，指望的,n.血红色，红腊笔,vt.以血沾污，血染
sanitation,[sæni'tei∫әn],n.卫生，卫生设施
sapling,['sæpliŋ],n.树苗，小树
Saracen,['særәsn],n.撒拉逊人，阿拉伯人的古称
satellite,['sætәlait],n.人造卫星
satisfactorily,[sætis'fæktәrili],adv.满意地
saunter,['so:ntә],n.vi.闲逛，漫步
sawmill,['so:mil],n.锯木厂，锯木机
scald,[sko:ld],n.烫伤，烫洗,v.被热油烫伤手，以沸水或蒸气清洗，烫伤，烫洗
scallop,['skolәp],n.扇贝，干贝
scaly,['skeili],adj.有鳞的，劣等的
scornful,['sko:nful],adj.轻蔑的
scoundrel,['skaundrәl],n.无赖，恶棍,adj.卑鄙的
script,[skript],n.手稿，手迹，剧本，考生的笔试卷，原本
scroll,[skrәul],n.卷轴，卷形物，名册,v.(使)成卷形
scruple,['skru:pl],n.踌躇，犹豫，微量，吩，审慎,vi.踌躇，有顾忌，迟疑
scurry,['skΛri],vi.急赶，急跑，急转，以轻快而交替的步子走动,n.急赶，急跑，急转
scuttle,['skΛtl],n.天窗，舱室小孔，煤桶，急速逃走,vi.急促地跑，急忙撤退,vt.凿沉，毁坏，毁坏
scythe,[saið],n.长柄镰刀，镰(古兵器),vt.用镰割
seaman,['si:mәn],n.海员，水手，水兵
seaport,['si:po:t],n.海港，港口都市
seaward,['si:wәd],adj.朝海的，海那一边的,adv.向海，向海那一边
seaweed,['si:wi:d],n.海草，海藻
secondly,[],adv.第二，其次
sect,[sekt],n.宗派，教派，教士会，流派，部分，段
secular,['sekjulә],adj.长期的
securely,[si`kjuәli],adv.安心地，安全地
seedling,['si:dliŋ],n.秧苗，树苗
seethe,[si:ð],v.沸腾
segment,['segmәnt],n.段，节，片断,v.分割
self-control,['selfkәn'trәul],n.克己，自制
selfishness,[],n.自私自利
selfsame,['selfseim],adj.完全相同的，同一的
seminary,['seminәri],n.神学院，学校，学院，发源地
sensational,[sen'sei∫әnәl],adj.使人感动的，非常好的
sentry,['sentri],n.岗哨
sepulcher,['sepәlkә(r)],n.坟墓，埋葬所，宗教圣物储藏所,vt.埋，葬
serf,[sә:f],n.农奴，奴隶
serge,[sә:dӡ],n.[纺] 斜纹哔叽布料
seriousness,['siәriәsnis],n.严肃，认真
servitude,['sә:vitju:d],n.奴隶状态，惩役，地役权，使用权
sexual,['seksjuәl],adj.性的，性别的，[生]有性的
shapeless,['∫eiplis],adj.不成形的，无定形的
shaving,['∫eiviŋ],n.刮，修胡须，削，刨，刨花
sheaf,[∫i:f],n.捆，束，札,v.捆，束，札
shimmer,['∫imә],n.微光
shin,[∫i:n; ∫in],n.[解]胫骨,v.攀，爬
shocking,['∫okiŋ],adj.骇人听闻的，非常讨厌的，不正当的
shopkeeper,['∫opki:pә(r)],n.店主
shorn,[∫o:n],v.shear的过去分词
shortcoming,['∫o:tkΛmiŋ],n.缺点，短处
shortening,['∫o:tniŋ],n.缩针，简写
shrank,['∫ræŋk],vbl.shrink的过去式
shrilly,[`∫rili],adv.尖锐地，刺耳地
shrivel,['∫rivl],v.(使)起皱纹，(使)枯萎，(使)束手无策
shyly,[],adv.害羞地,胆怯地
sickle,['sikl],n.镰刀
sienna,[si'enә],n.(富铁)黄土(用作颜料)，赭色
silhouette,[˛silu(:)'et],n.侧面影象，轮廓
silky,['silki],adj.丝的，柔滑的
simmer,['simә],vt.慢煮,vi.煨，炖，内部混乱状态,n.将沸腾的状态，将沸腾的温度
simplify,['simplifai],vt.单一化，简单化
ski,[ski:; ∫i:],n.滑雪橇,vi.滑雪
slat,[slæt],n.板条，狭板,vt.用板条做或装备，打，猛投
sleeper,['sli:pә],n.睡眠，(火车等的)卧铺，枕木，冬眠动物
sleepily,[`sli:pili],adv.想睡地，困倦地
sleeping pill,[],n.安眠药片
sleepless,['sli:plis],adj.失眠的
sleet,[sli:t],n.冰雨，雨夹雪,vi.下雨雪，下冰雹
slogan,['slәugәn],n.口号，标语
sloth,[slәuθ],n.怠惰，懒惰
slug,[slΛg],n.[动]鼻涕虫，懒汉，子弹，金属小块,vi.偷懒，捕鼻涕虫,vt.插嵌片于
sluggish,['slΛgi∫],adj.行动迟缓的
slump,[slΛmp],n.消沉，衰退，(物价)暴跌,v.失败，消沉，(物价)暴跌，跌落
smallpox,['smo:lpoks],n.[医]天花
smear,[smiә],v.涂上，抹掉，涂污，诽谤，抹去,n.油迹，污点，涂片，釉，中伤
smitten,['smitn],v.smite的过去分词
smock,[smok],n.工作服
smoky,['smәuki],adj.冒烟的，烟状的，烟熏味的
smuggle,['smΛgl],n.走私，偷带,v.走私
snout,[snaut],n.猪嘴
snowshoe,['snәu∫u:],n.雪鞋,vi.穿雪鞋走路
snowstorm,['snәusto:m],n.暴风雪
socialism,['sәu∫әlizәm],n.社会主义，社会主义运动
socially,[`sәu∫әli],adv.在社交方面，善于交际地，在社会地位上，在全社会中
socket,['sokit],n.窝，穴，孔，插座，牙糟,v.给...配插座
Socrates,['sokrәti:z],n.苏格拉底(469-399BC，古希腊哲学家)
softness,['softnis],n.柔和，温柔
solace,['solәs],n.安慰,v.安慰
solemnity,[sә'lemniti],n.严肃，一本正经
solicitor,[sә'lisitә],n.律师，法律顾问
soluble,['soljubl],adj.可溶的，可溶解的
sorely,['so:li],adv.强烈地，疼痛地，非常
southwestern,[sauθ'westәn],adj.西南的，来自西南的
spangle,['spæŋgl],n.亮晶晶的小东西,v.(使)闪烁
spar,[spα:],n.晶石，园材(如桅，桁等)，争论，争吵
spat,[spæt],n.[动] 蚝卵，口角，掌击,vi.一巴掌打去，争吵
spawn,[spo:n],n.(鱼等的)卵，(植物)菌丝，产物,v.产卵
speaking,['spi:kiŋ],n.谈话，演讲,adj.讲话的，适于说的，象要开口似的
specification,[˛spesifi'kei∫әn],n.详述，规格，说明书，规范
specify,['spesifai],vt.指定，详细说明，列入清单
specter,['spektә],n.幽灵，妖怪，缭绕心头的恐惧（或忧虑等）
spectrum,['spektrәm],n.光，光谱，型谱,频谱
speculate,['spekju˛leit],vi.推测，思索，做投机买卖
speculative,['spekjulәtiv; -leit-],adj.投机的
speculator,['spekjuleitә],n.投机者
spencer,['spensә],n.紧身短上衣，前桅，纵帆
spike,[spaik],n.穗，长钉，钉鞋，女高跟鞋，道钉,v.用大钉钉，用长而尖之物刺，阻止，穿刺
spinal,['spainl],adj.脊骨的，脊髓的,n.脊椎麻醉
splendidly,[],adv.壮观地，华丽地
spokesman,['spәuksmәn],n.发言人，代表者
sponsor,['sponsә],n.发起人，主办者，保证人，主办人,vt.发起，主办,v.赞助
spontaneous,[spon'teinjәs; -niәs],adj.自发的，自然产生的
spouse,[spauz],n.配偶(指夫或妻)
sprawl,[spro:l],n.四肢伸开的躺卧姿势，蔓生,v.四肢伸开地坐(或卧)，爬行，蔓生，蔓延
sprightly,['spraitli],adj.轻快的
sprite,[sprait],n.鬼怪，小妖精，调皮鬼
squall,[skwo:l],n.暴风，暴风雪，嚎啕,vi.狂风吹袭，嚎啕，哇哇地叫嚷,vt.尖声叫着
squash,[skwo∫],n.南瓜，易压烂的物品，拥挤的人群，壁球,v.压扁，压制，镇压，挤进，挤压
squeal,[skwi:l],v.长声尖叫，告密，抱怨，激烈抗议,n.长而尖的声音
stagnant,['stægnәnt],adj.停滞的，迟钝的
staid,[steid],adj.沉静的
stamen,['steimen],n.雄蕊，雄性花蕊
starlight,['stα:lait],n.星星的闪光，星光
stave,[steiv],n.狭板，梯级，棍棒，诗句,vt.击穿，弄破，避开，压扁，延缓,vi.穿孔，破碎
steadfast,['stedfәst],adj.坚定的
stealthily,[],adv.暗地里，悄悄地
stepmother,['step˛mΛðә],n.继母
sterile,['sterail],adj.贫脊的，不育的，不结果的，消过毒的，毫无结果的
sticky,['stiki],adj.粘的，粘性的
stigma,['stigmә],n.污名，(植物)柱头，[动物] 气门，耻辱
stile,[stail],n.墙(或篱的)两侧的阶梯(供人畜通行用)
stink,[stiŋk],v.发出臭味
stockade,[sto'keid],n.栅栏，围起处,vt.用栅栏围住
stockholder,['stokhәuldә(r)],n.股东
stow,[stәu],v.装载
stratagem,['strætidӡәm],n.战略，计谋
strategy,['strætidӡi],n.策略，军略
stratum,['streitәm],n.[地] 地层，[生](组织的)层，社会阶层
streamer,['stri:mә],n.横幅，长旗，彩色纸带
stretcher,['stret∫ә],n.担架，延伸器
strew,[stru:],vt.散播，点缀，撒满
stub,[stΛb],n.树桩，残余，断株，烟蒂，用突了的笔，存根,adj.短而秃的vt.挖除断株，连根拔除，踩熄,adj.短而秃的
stubble,['stΛbl],n.断株，茬，短发
stubbornly,[],adv.倔强地，顽固地
stung,[stΛŋ],vbl.sting的过去式及过去分词
stupendous,[stju(:)'pendәs],adj.惊人的，巨大的
subsist,[sәb'sist],v.生存，存在，供养
subsistence,[sΛb'sistәns],n.生存，生活，留存
substantially,[sәb'stæn∫(ә)li],adv.充分地
subtlety,['sΛtlti],n.稀薄，微妙，精明
subtract,[sәb'trækt],v.(～ from)减去，减
suburban,[sә'bә:bәn],adj.郊外的，偏远的
sucker,['sΛkә],n.乳儿，吸管
suffocate,['sΛfәkeit],vt.使窒息，噎住，闷熄,vi.被闷死，窒息，受阻
suggestive,[sә'dӡestiv],adj.提示的，启发的，暗示的
suitcase,['sju:tkeis],n.手提箱，衣箱
sullenly,[],adv.不高兴地，阴沉地
sultry,['sΛltri],adj.闷热的，粗暴的，激烈的，放荡的
summarize,['sΛmәraiz],v.概述，总结，摘要而言
sumptuous,['sΛmptjuәs],adj.奢侈的，华丽的
sundown,['sΛndaun],n.日落，阔缘的女帽
sup,[sΛp],n.一口,vt.吸，进晚餐，体验,vi.吃晚饭，啜饮
superintend,[˛sju:pәrin'tend],v.主管，指挥，管理，监督
supervise,['sju:pәvaiz],v.监督，管理，指导
supervisor,['sju:pәvaizә],n.监督人，管理人，检查员，督学，主管人，[计](网络)超级用户
supplant,[sә'plα:nt],vt.排挤掉，代替
surf,[sә:f],n.海浪，拍岸浪,vi.作冲浪运动,vt.在激浪上驾(船)，在...冲浪
surmise,['sә:maiz],v.猜测,n.猜度
surname,['sә:neim],n.姓,v.用姓称呼
surprisingly,[],adv.令人惊讶地
survivor,[sә'vaivә],n.生还者，残存物
susceptible,[sә'septәbl],adj.易受影响的，易感动的，容许...的,n.(因缺乏免疫力而)易得病的人
suspense,[sәs'pens],n.焦虑，悬念，悬而不决
swarthy,['swo:ði],adj.黑黝黝的，浅黑的
Swede,[swi:d],n.瑞典人
swiftness,[],n.迅速，快
sycamore,['sikәmo:; -moә],n.小无花果树，枫树的一种
Sydney,['sidni],n.悉尼[雪梨](澳大利亚东南部港市，新南威尔士州首府)
syndicate,['sindikit],n.企业联合，[经]辛迪加，财团,v.联合成辛迪加
syndicator,[`sindikeitә(r)],n.辛迪加组织者[参加者，经营者]
Syrian,['siriәn],adj.叙利亚的,n.叙利亚人
syrup,['sirәp],n.糖浆，果汁
systematic,[˛sisti'mætik],adj.系统的，体系的
tabernacle,['tæbә(:)nækl],n.临时房屋，帐篷，身体，壁龛，礼拜堂，神龛,vt.使住于临时房屋,vi.给予住宿，暂居
taking,['teikiŋ],n.(用复数)营业收入，取得，捕获,adj.吸引人的，迷人的，可爱的，会传染的
talker,['to:kә],n.健谈者，空谈者，讲话的人
tallow,['tælәu],n.牛脂，动物脂,vt.涂脂油于
taproot,['tæpru:t],n.[植]主根，直根
tassel,['tæsl],n.穗，缨,vt.用缨装饰,vi.抽穗
taunt,[to:nt],n.辱骂，嘲弄,vt.嘲弄，奚落,adj.[海](桅杆)很高的
tawny,['to:ni],n.茶色,adj.茶色的
taxpayer,['tæks˛peiә],n.纳税人，所收租金只够支付地产税的建筑物
technique,[tek'ni:k],n.技术，技巧，方法，表演法，手法
ted,[ted],vt.翻晒
termination,[˛tә:mi'nei∫әn],n.终止
territorial,[˛teri'to:riәl],adj.领土的
Thames,[temz],n.泰晤士河(流经牛津，伦敦等)
therefor,[ðєә'fo:],adv.为此，因此
thereto,[ðєә'tu:],adv.另外，往那里，到那
thicken,['θikәn],v.(使)变厚，(使)变粗，(使)变浓
thimble,['θimbl],n.顶针，心环，嵌环，套管，支撑环
thinly,[],adv.稀疏地
tho,[ðәu],adv.(=though)可是，不过
thong,[θoŋ],n.皮带
thorny,['θo:ni],adj.多刺的，痛苦的
thoroughfare,['θΛrәfєә],n.通路，大道
thou,[θau],pro.你
thoughtless,['θo:tlis],adj.欠考虑的
thrall,['θro:l],n.奴隶，束缚，奴役,vt.使成为奴隶,adj.受奴役的
threescore,[],n.六十，六十岁
thrifty,['θrifti],adj.节约的
thud,[θΛd],n.砰击声，重击,vi.砰的一声掉下，轰的一声,vt.砰地击中
tidy,['taidi],n.椅子的背罩，装杂碎的容器,adj.整齐的，整洁的，精简的,vt.弄整齐，收拾，整理,vi.整理，收拾,adj.<口>可观的、相当大的
timely,['taimli],adj.及时的，适时的
timidly,[],adv.胆小地，羞怯地
tireless,['taiәlis],adj.不疲劳的
Tokyo,['tәukjәu],n.东京(日本首都)
tolerant,['tolәrәnt],adj.容忍的，宽恕的，有耐药力的
tonic,['tonik],adj.激励的，滋补的,n.滋补剂，滋补品
tonnage,['tΛnidӡ],n.登记吨位，排水量
toothpaste,['tu:θpeist],n.牙膏
Tory,['to:ri],n.保守党党员，保皇党人,adj.保守分子的
town hall,[],n.市政厅
trailer,['treilә],n.追踪者，拖车,vi.乘拖车式活动房屋旅行,vt.用拖车载运
trance,[trα:ns],n.恍惚，出神，着迷，[医]迷睡,vt.使恍惚，使发呆
tranquil,['træŋkwil],adj.安静的
transact,[træn'zækt; -'sækt],v.办理，交易，谈判，处理
transient,['trænziәnt],adj.短暂的，瞬时的,n.瞬时现象
transit,['trænsit],n.经过，通行，搬运，运输，运输线，转变,vt.横越，通过，经过,vi.通过,n.[天] 中天，经纬仪
transmission,[trænz'mi∫әn],n.播送，发射，传动，传送，传输，转播
transplant,[træns'plα:nt],v.移植，移种，移民，迁移,n.移植，被移植物，移居者
treble,['trebl],adj.三倍的，三重的，三层的，最高音部的,v.成三倍，使增加两倍，增为三倍
treetop,[],n.树稍
tremulous,['tremjulәs],adj.震颤的
trespass,['trespәs],n.过失，罪过，侵入,v.侵入
triangular,[trai'æŋgjulә],adj.三角形的，三人间的
tribune,['tribju:n],n.(古罗马)护民官，民众领袖，论坛，(赛马场的)看台，讲坛
trigger,['trigә],vt.引发，引起，触发,n.板机
trinity,['triniti],n.三位一体，三人一个组，三个一组的(物)
triple,['tripl],n.三倍数，三个一组,adj.三倍的,vt.三倍与,vi.增至三倍
triumphal,[trai'Λmfәl],adj.胜利的，凯旋的
troll,[trәul],vi.旋转，合唱中的轮唱，钓鱼,vt.使旋转，轮唱，放声高唱，钓,n.旋转，轮唱，钓鱼
trooper,['tru:pә(r)],n.骑兵，骑警，伞兵
truant,['tru:әnt],n.逃避者,adj.逃避
trusting,['trΛstiŋ],adj.信任的，信赖的
truthful,['tru:θful],adj.诚实的，说实话的
tuberculosis,[tju˛bә:kju'lәusis],n.肺结核
tumbler,['tΛmblә],n.打滚的人，翻筋斗者，杂技演员，(平底)大玻璃杯，一杯量
tunic,['tju:nik],n.束腰外衣
turban,['tә:bәn],n.穆斯林的头巾
turbaned,[],adj.戴头巾的，包着头巾的，[动]头帕海胆
Turk,[tә:k],n.土耳其人，土耳其马
Turkish,['tә:ki∫],n.土耳其语,adj.土耳其的，土耳其人的，土耳其语的，突厥诸语言的
turmoil,['tә:moil],n.骚动，混乱
turner,['tә:nә],n.车床工，体育协会会员
turpentine,['tә:pәntain],n.松节油，松脂,v.涂松节油，采松脂
twain,[twein],n.两，双，二，一对
twitter,['twitә],n.鸟鸣声，喋喋不休，慌张,vi.啭，鸟鸣，摆动,vt.嘁嘁喳喳地讲，抖动
tyre,['taiә],n.轮胎,vt.装轮胎于
unanimously,[],全体一致地，无异议地
unbearable,[Λn'bєәrәbl],adj.无法忍受的，承受不住的
unborn,['Λn'bo:n],adj.未来的
unbound,['Λn'baund],adj.已自由的，未装订的,vbl.unbind的过去式和过去分词
uncanny,[Λn'kæni],adj.离奇的
unchanged,['Λn't∫eindӡd],adj.无变化的，未改变的
unclean,['Λn'kli:n; Λn'klin],adj.不洁的，含糊不清的
uncouth,[Λn'ku:θ],adj.笨拙的，粗俗的，不舒适的
undergone,[˛Λndә`gon],vbl.undergo的过去分词
underlying,['Λndә'laiiŋ],adj.在下面的，根本的，潜在的，[商]优先的
undermine,[˛Λndә'main],v.破坏
underwear,['Λndәwєә],n.内衣裤
underworld,['Λndәwә:ld],n.黑社会
undesirable,['Λndi'zaiәrәbl],adj.不合需要的，不受欢迎的，令人不快的
undone,['Λn'dΛn],adj.未完成的，破灭的,vbl.undo的过去分词
uneasily,[˛Λn`i:zili],adv.不安地，担心地，不自在地，不稳定地
unfamiliar,['Λnfә'miljә],adj.新奇的，不熟悉的，没有经验的
unguarded,['Λn'gα:did],adj.没有防备的
uniformity,[˛ju:ni'fo:miti],n.同样，一式，一致，均匀
uniformly,['ju:nifo:mli],adv.一律地，均一地
unison,['ju:nizn;-sn],n.调和，和谐，一致，齐唱，齐奏,adj.[音]同度的，同音的
unlikely,[Λn'laikli],adj.未必的，不太可能的，靠不住的
unmistakable,['Λnmis'teikәbl],adj.明白的，不会弄错的
unmoved,['Λn'mu:vd],adj.无动于衷的
